Latinobarometro,encuesta,categorias,Categorias_2
"P11S0037- En general, ¿Diría Ud. que está muy satisfecho, más bien satisfecho, no muy satisfecho o nada satisfecho con el funcionamiento de la democracia en Argentina en el año 2020?",Latinobarometro,democracia - excesos poder ej - presidencialismo,Democracia - Derechos
"P11S0038- En general, ¿Diría Ud. que está muy satisfecho, más bien satisfecho, no muy satisfecho o nada satisfecho con el funcionamiento de la economía en Argentina en el año 2020?",Latinobarometro,economia,Economia
P2ST- ¿Diría Ud. que Argentina en el año 2020 ...?,Latinobarometro,relaciones internacionales,Relaciones internacionales
"P12ST- En términos generales ¿Diría usted que Argentina está gobernada por unos cuantos grupos poderosos en su propio beneficio, o que está gobernado para el bien de todo el pueblo?",Latinobarometro,democracia - excesos poder ej - presidencialismo,Democracia - Derechos
P4STGBS- ¿Cómo calificaría en general la situación económica de Argentina en el año 2020? Diría Ud. que es...,Latinobarometro,economia,Economia
"P5STGBS- ¿Considera Ud. que la situación económica de Argentina en 2020 estaba mucho mejor, un poco mejor, igual, un poco peor, o mucho peor que en 2019?",Latinobarometro,economia,Economia
P14GBS- ¿Cómo diría Ud. que es la democracia en Argentina?,Latinobarometro,democracia - excesos poder ej - presidencialismo,Democracia - Derechos
"P9STGBS- Hablando en general, ¿Diría Ud. que se puede confiar en la mayoría de las personas o que uno nunca es lo suficientemente cuidadoso en el trato con los demás?",Latinobarometro,opinion,Opinion
P10STGBS- ¿Con cuál de las siguientes frases está Ud. más de acuerdo?,Latinobarometro,opinion,Opinion
P17STGBS- ¿Ud. aprueba o no aprueba la gestión del gobierno argentino que encabeza el presidente Alberto Fernandez?,Latinobarometro,opinion,Opinion
"P18ST- En política se habla normalmente de ""izquierda"" y ""derecha"". En una escala dónde “00"" es la “izquierda” y “10"" la “derecha”, ¿Dónde se ubicaría Ud.?",Latinobarometro,ideologia politica - fuerzas armadas extranjeras - inmigracion extranjera - seguridad,Relaciones internacionales
P19ST- ¿Cuán justa cree Ud. que es la distribución del ingreso en Argentina?,Latinobarometro,derechos sociales- pobreza - ingresos - educacion,Democracia - Derechos
P19ST_A- ¿Cuán justa cree Ud. que es el acceso a la educación en Argentina?,Latinobarometro,derechos sociales- pobreza - ingresos - educacion,Democracia - Derechos
P19N_B- ¿Cuán justa cree Ud. que es el acceso a la justicia en Argentina?,Latinobarometro,justicia - independencia de poderes,Democracia - Derechos
"P26N_A- ¿Está Ud. muy a favor, algo a favor, algo en contra o muy en contra de la integración de Argentina con los otros países de Améria Latina?",Latinobarometro,relaciones internacionales,Relaciones internacionales
P28ST- ¿Considera Ud. que la inversión extranjera es beneficiosa o es perjudicial para el desarrollo económico de Argentina o no sabe lo suficiente para opinar?,Latinobarometro,economia,Economia
"P20ST_A- Por favor, dígame si está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo, con la siguiente afirmación. La democracia puede tener problemas pero es el mejor sistema de gobierno",Latinobarometro,democracia - excesos poder ej - presidencialismo,Democracia - Derechos
"P20ST_B- Por favor, dígame si está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo, con la siguiente afirmación. No me importaría que un gobierno no democrático llegara al poder si resuelve los problemas",Latinobarometro,democracia - excesos poder ej - presidencialismo,Democracia - Derechos
"P20ST_C- Por favor, dígame si está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo, con la siguiente afirmación. La democracia permite que se solucionen los problemas que tenemos",Latinobarometro,democracia - excesos poder ej - presidencialismo,Democracia - Derechos
"P20ST_D- Por favor, dígame si está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo, con la siguiente afirmación. En caso de dificultades esta bien que el presidente controle los medios de comunicación",Latinobarometro,democracia - excesos poder ej - presidencialismo,Democracia - Derechos
"P20ST_E- Por favor, dígame si está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo, con la siguiente afirmación. Es posible erradicar la corrupción de la política",Latinobarometro,democracia - excesos poder ej - presidencialismo,Democracia - Derechos
"P20ST_F- Por favor, dígame si está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo, con la siguiente afirmación. Se puede pagar el precio de cierto grado de corrupción, siempre que se solucionen los problemas del país",Latinobarometro,corrupcion - confianza en insitituciones,Democracia - Derechos
"P20ST_G- Por favor, dígame si está muy de acuerdo, de acuerdo, en desacuerdo o muy en desacuerdo, con la siguiente afirmación. Si no denuncio un acto de corrupción que tengo conocimiento me transformo en cómplice",Latinobarometro,corrupcion - confianza en insitituciones,Democracia - Derechos
"P21STM- ¿Apoyaría Ud. a un gobierno militar en reemplazo del gobierno democrático si las cosas se ponen muy difíciles, o no apoyaría Ud. en ninguna circunstancia un gobierno militar?",Latinobarometro,democracia - excesos poder ej - presidencialismo,Democracia - Derechos
"P29ST_A- Ud. está muy de acuerdo (1), de acuerdo (2), en desacuerdo (3) o muy en desacuerdo (4) con la siguiente afirmación?. Que Argentina pueda comprar bienes y servicios libremente de cualquier otro país de América Latina y que cualquier otro país pueda vender bienes y servicios en otro pais de América Latina",Latinobarometro,economia,Economia
"P29ST_B- Ud. está muy de acuerdo (1), de acuerdo (2), en desacuerdo (3) o muy en desacuerdo (4) con la siguiente afirmación?. La libre importación de bienes y servicios favorece al consumidor",Latinobarometro,economia,Economia
"P29ST_C- Ud. está muy de acuerdo (1), de acuerdo (2), en desacuerdo (3) o muy en desacuerdo (4) con la siguiente afirmación?. En general, los productos nacionales son de menor calidad que los productos importados",Latinobarometro,economia,Economia
"P29ST_D- Ud. está muy de acuerdo (1), de acuerdo (2), en desacuerdo (3) o muy en desacuerdo (4) con la siguiente afirmación?. Al mismo precio prefiero comprar bienes nacionales que importados",Latinobarometro,economia,Economia
"P29ST_E- Ud. está muy de acuerdo (1), de acuerdo (2), en desacuerdo (3) o muy en desacuerdo (4) con la siguiente afirmación?. Los robots van a quitarme mi empleo de aquí a 10 años o más",Latinobarometro,economia,Economia
"P29ST_F- Ud. está muy de acuerdo (1), de acuerdo (2), en desacuerdo (3) o muy en desacuerdo (4) con la siguiente afirmación?. Se debe cerrar la economía al comercio exterior para evitar que los productos extranjeros compitan con los nacionales",Latinobarometro,economia,Economia
"P29ST_G- Ud. está muy de acuerdo (1), de acuerdo (2), en desacuerdo (3) o muy en desacuerdo (4) con la siguiente afirmación?. Estoy capacitado para manejar las nuevas tecnologías en mi trabajo",Latinobarometro,derechos sociales- pobreza - ingresos - educacion,Democracia - Derechos
