,Pregunta,Respuesta
0,P11S0037,1
1,P11S0038,1
2,P2ST,-5
3,P12ST,1
4,P4STGBS,3
5,P5STGBS,-5
6,P14GBS,1
7,P9STGBS,1
8,P10STGBS,-1
9,P17STGBS,1
10,P18ST,-5
11,P19ST,-5
12,P19ST_A,-5
13,P19N_B,-5
14,P26N_A,-5
15,P28ST,-1
16,P20ST_A,2
17,P20ST_B,2
18,P20ST_C,2
19,P20ST_D,2
20,P20ST_E,2
21,P20ST_F,2
22,P20ST_G,2
23,P21STM,-5
24,P29ST_A,-2
25,P29ST_B,-2
26,P29ST_C,-2
27,P29ST_D,-2
28,P29ST_E,-2
29,P29ST_F,-2
30,P29ST_G,-2
31,P29ST_H,-2
32,P22ST_A,-2
33,P22ST_B,-1
34,P22ST_C,-5
35,P22ST_D,-1
36,P23N,-2
37,P30ST_A,-5
38,P30ST_B,1
39,P30ST_C,1
40,P30ST_D,1
41,P30ST_E,-5
42,P30ST_F,-5
43,P31ST_A,-2
44,P31ST_B,-2
45,P31ST_C,-2
46,P31ST_D,-2
47,P31ST_E,-2
48,P25N,-5
49,P33N,1
50,P34N,1
51,P35N_A,1
52,P35N_B,1
53,P41N,-5
54,P36N_A,-1
55,P36N_B,-1
56,P42N,-5
57,P37N_A,-2
58,P37N_B,-2
59,P37N_C,-2
60,P37N_D,-1
61,P46STGBS,-5
62,P47ST_A,-2
63,P47ST_B,1
64,P47ST_C,-2
65,P47ST_D,-2
66,P47ST_E,-5
67,P47ST_F,1
68,P47ST_G,1
69,P47ST_H,1
70,P47ST_I,1
71,P47ST_J,1
72,P47ST_K,-2
73,P47ST_L,1
74,P47ST_M,1
75,P48ST,-2
76,P49STGBS,-1
77,P60N_B,-1
78,P69ST,-5
79,P70ST,3
