Pregunta,Respuesta
P11S0037,2
P11S0038,3
P2ST,3
P12ST,2
P4STGBS,4
P5STGBS,5
P14GBS,2
P9STGBS,1
P10STGBS,1
P17STGBS,-2
P18ST,5
P19ST,3
P19ST_A,2
P19N_B,3
P26N_A,1
P28ST,-1
P20ST_A,2
P20ST_B,3
P20ST_C,2
P20ST_D,3
P20ST_E,2
P20ST_F,3
P20ST_G,4
P21STM,2
P29ST_A,2
P29ST_B,1
P29ST_C,3
P29ST_D,2
P29ST_E,3
P29ST_F,4
P29ST_G,2
P29ST_H,3
P22ST_A,2
P22ST_B,2
P22ST_C,2
P22ST_D,3
P23N,-3
P30ST_A,-2
P30ST_B,-2
P30ST_C,-2
P30ST_D,2
P30ST_E,2
P30ST_F,3
P31ST_A,2
P31ST_B,2
P31ST_C,2
P31ST_D,2
P31ST_E,2
P25N,2
P33N,5
P34N,-2
P35N_A,-2
P35N_B,-2
P41N,3
P36N_A,1
P36N_B,2
P42N,3
P37N_A,2
P37N_B,2
P37N_C,2
P37N_D,-2
P46STGBS,2
P47ST_A,2
P47ST_B,2
P47ST_C,2
P47ST_D,2
P47ST_E,4
P47ST_F,3
P47ST_G,2
P47ST_H,2
P47ST_I,2
P47ST_J,3
P47ST_K,2
P47ST_L,3
P47ST_M,2
P48ST,-2
P49STGBS,2
P60N_B,1
P69ST,2
P70ST,3
